sigma,ksp_rms_mean,snr_ksp_measured,snr_ksp_phantom,background_std_a,snr_nema_peak_a,diff_roi_std,snr_dual_peak,snr_dual_block_min,snr_dual_block_median,snr_dual_block_max,mape_mean_pct,mape_median_pct,mape_max_pct,mape_mean_pct_std_lo,mape_mean_pct_std_hi,mape_median_pct_std,n_seeds,n_blocks,clean_recon
0.0,23.92733383178711,Inf,Inf,0.09953726852174771,17.493338402704424,0.0,1.1970453153251328e16,1.2223045280202752e16,1.2762402978267136e16,1.961271260662989e16,5.290328772286471,3.6198706400068996,18.469563513841425,8.881784197001252e-16,0.0,9.193520069792627e-16,15.0,4.0,0.0
1.0,23.92733383178711,23.92733383178711,32.25502085238804,0.09894024717099492,17.619972822081134,0.021108214423497577,178.37174564541704,162.8117533050672,204.2739635883466,353.88489030248525,5.359551084078933,3.4672633648202855,17.843285107769923,0.2298078441819953,0.31291226662867316,0.31678591511578136,15.0,4.0,0.0
3.0,23.92733383178711,7.975777943929036,10.75167361746268,0.0985262933678119,17.714015432591218,0.07460811772035764,50.475604541240926,57.470508810233206,60.79093487440281,66.70914463605679,5.664196998441256,3.625176693634437,18.051509256255667,0.573086358265285,0.7191391393752575,0.7181730852112588,15.0,4.0,0.0
8.0,23.92733383178711,2.9909167289733887,4.031877606548505,0.11426431825941795,15.743143896625423,0.18381826613000718,21.40557925332396,14.517869593959151,29.673270846137903,50.150482210020975,10.205074008619423,6.233247633680915,27.52051894104489,2.7252318908827085,3.1461191922816,1.5280062461090467,15.0,4.0,0.0
12.0,23.92733383178711,1.993944485982259,2.68791840436567,0.14667711575396278,12.14211218141531,0.24928855969218952,15.368287967086403,15.39180458207206,19.64748553844725,22.311991302050146,18.85569059553063,8.151534399844447,49.584896117401954,5.8235587185283375,5.025186109278812,2.31598349604671,15.0,4.0,0.0
16.0,23.92733383178711,1.4954583644866943,2.0159388032742527,0.17736448115487155,9.994657721875344,0.3047922705586653,12.24152359729681,11.377124030232899,15.803585456360036,19.49398385874193,21.748310527993485,9.89221707965461,79.28864541354346,6.662240566558627,10.543445460881127,2.7743667915879904,15.0,4.0,0.0
22.0,23.92733383178711,1.0876060832630505,1.4661373114721838,0.23926614116315317,7.789978782620923,0.43301724144770753,8.90694127313512,7.803020288610377,10.784233822855452,16.258216610884,85.99450081727782,14.471153811561457,876.9580591485378,59.43785082610707,818.8298356971654,3.0832131476296287,15.0,4.0,0.0
30.0,23.92733383178711,0.7975777943929037,1.075167361746268,0.3156917803507846,5.654167163092605,0.5797081094175783,7.001409981782604,6.183727020485197,8.621741847319793,10.513717095287717,183.06366139474233,21.47429334940834,1675.8051443224365,149.75652862687292,510.12557869311,5.278910511190193,15.0,4.0,0.0
40.0,23.92733383178711,0.5981833457946777,0.806375521309701,0.41690064402231175,4.776717934132302,0.8527328876094559,4.551316928026325,4.494703401406083,5.588949145755144,7.2266996450299255,178.53169453603687,33.38068329686684,1275.3204208940087,127.76254226914061,359.82566524775143,12.458596584183715,15.0,4.0,0.0
45.0,23.92733383178711,0.5317185295952691,0.7167782411641788,0.47348875951950664,3.845426810502856,1.0263967976160573,4.296464890614373,4.859128766569325,5.9355706303379225,7.708997526913808,400.10297274465717,41.72317225815138,3394.9994897722036,283.0627687573165,332.11466620761274,12.701113328714822,15.0,4.0,0.0
50.0,23.92733383178711,0.4785466766357422,0.6451004170477608,0.5058634781851759,3.999662103933072,1.1562045699824286,3.3304647977088364,3.356108907229854,4.690851141584746,6.0719428333651475,212.14408752936944,41.43266642549572,1419.8937064085173,147.7142547637247,343.19499834202765,17.592800116656264,15.0,4.0,0.0
65.0,23.92733383178711,0.36811282818134017,0.49623109003673915,0.6753740411909269,2.694972456017656,1.09647973709673,3.6723936925997647,3.7984638625972056,4.677171914921269,8.983071080196293,517.000273235456,55.431041262829545,3168.653579829835,339.84068542700913,303.78971140559923,15.53366297887631,15.0,4.0,0.0
