variant,label,T1_true_s,T1_fit_s,T1_sigma_s,mape_vs_true_pct,rel_vs_koma_pct
koma_full,T1_1,1.879,1.920961193591006,0.0,2.2331662368816407,0.0
koma_full,T1_2,1.432,1.3948316960568534,0.0,2.5955519513370473,0.0
koma_full,T1_3,1.027,0.9675386896045512,0.0,5.7898062702481665,0.0
koma_full,T1_4,0.7513,0.694556189363927,0.0,7.552749984836008,0.0
koma_full,T1_5,0.527,0.4763100528444664,0.0,9.618585798013966,0.0
koma_full,T1_6,0.3841,0.40587411603250634,0.009279436153919574,5.6688664494939704,0.0
koma_full,T1_7,0.2723,0.24266305870620616,0.002773802487934962,10.88392996466905,0.0
koma_full,T1_8,0.1945,0.16832561125458187,0.0019240753074262346,13.457269277849942,0.0
koma_full,T1_9,0.1378,0.11810299302121237,0.0013499968953717897,14.293909273430797,0.0
koma_full,T1_10,0.0947,0.080071708445865,0.001830666891305649,15.446981577756075,0.0
koma_full,T1_11,0.067,0.0555425260862097,0.001269860048437075,17.10070733401538,0.0
koma_full,T1_12,0.04814,0.039871692657429056,0.0009115802455697472,17.175544957563243,0.0
koma_full,T1_13,0.03435,0.027343054928429245,0.0010879557853082662,20.39867560864848,0.0
koma_full,T1_14,0.02416,0.018327408295410613,0.0011595628109757686,24.141521956081906,0.0
hybrid_cached,T1_1,1.879,1.8991288036658351,0.0,1.0712508603424769,1.1365346680615585
hybrid_cached,T1_2,1.432,1.3789789502700562,0.0,3.7025872716441137,1.1365346680615598
hybrid_cached,T1_3,1.027,0.956542276970287,0.005498206317132104,6.86053778283475,1.1365346680615551
hybrid_cached,T1_4,0.7513,0.694556189363927,0.0,7.552749984836008,0.0
hybrid_cached,T1_5,0.527,0.4763100528444664,0.0,9.618585798013966,0.0
hybrid_cached,T1_6,0.3841,0.40587411603250634,0.009279436153919574,5.6688664494939704,0.0
hybrid_cached,T1_7,0.2723,0.24266305870620616,0.0013789748943873054,10.88392996466905,0.0
hybrid_cached,T1_8,0.1945,0.16832561125458187,0.0019240753074262346,13.457269277849942,0.0
hybrid_cached,T1_9,0.1378,0.11810299302121237,0.0013499968953717897,14.293909273430797,0.0
hybrid_cached,T1_10,0.0947,0.080071708445865,0.0013808170039438725,15.446981577756075,0.0
hybrid_cached,T1_11,0.067,0.0555425260862097,0.001269860048437075,17.10070733401538,0.0
hybrid_cached,T1_12,0.04814,0.039871692657429056,0.0009115802455697472,17.175544957563243,0.0
hybrid_cached,T1_13,0.03435,0.027343054928429245,0.0009378120506134124,20.39867560864848,0.0
hybrid_cached,T1_14,0.02416,0.018327408295410613,0.0011595628109757686,24.141521956081906,0.0
hybrid_cached_perline,T1_1,1.879,1.920961193591006,0.0,2.2331662368816407,0.0
hybrid_cached_perline,T1_2,1.432,1.3789789502700562,0.0,3.7025872716441137,1.1365346680615598
hybrid_cached_perline,T1_3,1.027,0.9675386896045512,0.0,5.7898062702481665,0.0
hybrid_cached_perline,T1_4,0.7513,0.694556189363927,0.0,7.552749984836008,0.0
hybrid_cached_perline,T1_5,0.527,0.4763100528444664,0.0027378308356195424,9.618585798013966,0.0
hybrid_cached_perline,T1_6,0.3841,0.40587411603250634,0.009279436153919574,5.6688664494939704,0.0
hybrid_cached_perline,T1_7,0.2723,0.24266305870620616,0.0013789748943873054,10.88392996466905,0.0
hybrid_cached_perline,T1_8,0.1945,0.16832561125458187,0.0019240753074262346,13.457269277849942,0.0
hybrid_cached_perline,T1_9,0.1378,0.11810299302121237,0.0013499968953717897,14.293909273430797,0.0
hybrid_cached_perline,T1_10,0.0947,0.080071708445865,0.001830666891305649,15.446981577756075,0.0
hybrid_cached_perline,T1_11,0.067,0.0555425260862097,0.001269860048437075,17.10070733401538,0.0
hybrid_cached_perline,T1_12,0.04814,0.039871692657429056,0.0009115802455697472,17.175544957563243,0.0
hybrid_cached_perline,T1_13,0.03435,0.027343054928429245,0.0009378120506134124,20.39867560864848,0.0
hybrid_cached_perline,T1_14,0.02416,0.018538100231339793,0.0011595628109757686,23.269452684851856,1.1496002737164968
hybrid_analytic,T1_1,1.879,1.920961193591006,0.0,2.2331662368816407,0.0
hybrid_analytic,T1_2,1.432,1.4768713374319185,0.0,3.133473284351852,5.8816874901099965
hybrid_analytic,T1_3,1.027,1.0481357552731758,0.0,2.0580092768428337,8.330112948926715
hybrid_analytic,T1_4,0.7513,0.7354078138655297,0.0,2.115291645743418,5.8816874901099725
hybrid_analytic,T1_5,0.527,0.4873243244085049,0.0,7.528591193832086,2.3124163553262407
hybrid_analytic,T1_6,0.3841,0.34585412817008154,0.0019879700020514757,9.957269416797306,14.78783334328662
hybrid_analytic,T1_7,0.2723,0.24827443896406343,0.0014108625353809745,8.823195385948058,2.3124163553262544
hybrid_analytic,T1_8,0.1945,0.184443590139007,0.0,5.170390674032398,9.575476223904927
hybrid_analytic,T1_9,0.1378,0.14180372438452116,0.004122829895058744,2.905460366125654,20.06784989695555
hybrid_analytic,T1_10,0.0947,0.10655733890941149,0.0012180222789184639,12.520949217963553,33.07738897747253
hybrid_analytic,T1_11,0.067,0.07142288461099237,0.0008164117607588617,6.601320314913985,28.591350886947698
hybrid_analytic,T1_12,0.04814,0.04469988249700908,0.0018406156277247926,7.14606876400274,12.109317457533168
hybrid_analytic,T1_13,0.03435,0.033207634426407805,0.0005726575236962329,3.3256639697007104,21.448150228016445
hybrid_analytic,T1_14,0.02416,0.025240493325545038,0.0007255067328362196,4.47224058586522,37.719927000619826
theory_full,T1_1,1.879,1.814252529523045,0.0,3.445847284563867,5.554961985904675
theory_full,T1_2,1.432,1.3789789502700562,0.0,3.7025872716441137,1.1365346680615598
theory_full,T1_3,1.027,0.9675386896045512,0.0,5.7898062702481665,0.0
theory_full,T1_4,0.7513,0.694556189363927,0.0,7.552749984836008,0.0
theory_full,T1_5,0.527,0.4817857145157055,0.0027378308356195424,8.57956081295911,1.1496002737164774
theory_full,T1_6,0.3841,0.338037298394895,0.003863994397424103,11.992372196070034,16.713758024465477
theory_full,T1_7,0.2723,0.24266305870620616,0.0013789748943873054,10.88392996466905,0.0
theory_full,T1_8,0.1945,0.1722180002194357,0.001968567939523949,11.456041018284989,2.312416355326249
theory_full,T1_9,0.1378,0.12222313424100513,0.0013970928894099371,11.303966443392508,3.4886001737930097
theory_full,T1_10,0.0947,0.08381770750968853,0.000958092949388159,11.49133314710821,4.678305404656291
theory_full,T1_11,0.067,0.05880936389471338,0.001014153078947283,12.224830007890478,5.881687490110005
theory_full,T1_12,0.04814,0.0427021457065169,0.00048811433694282216,11.295916687750529,7.098903659311941
theory_full,T1_13,0.03435,0.030305717639366497,0.0005226146793339721,11.77374777477002,10.83515619850106
theory_full,T1_14,0.02416,0.021507971237540054,0.0004917333676018563,10.976940241969977,17.354133715272173
