shot,sim_time_s,L0_none,L1_readout,L2_prewinder,L3_pe
115,230,0.343166,0.343006,0.157402,0.116865
116,232,0.343166,0.343006,0.157393,0.169661
117,234,0.343166,0.343006,0.157394,0.221701
118,236,0.343166,0.343006,0.157394,0.266376
119,238,0.343166,0.343006,0.157394,0.300629
120,240,0.343166,0.343006,0.157394,0.323324
121,242,0.343166,0.343006,0.157394,0.335298
122,244,0.343166,0.343006,0.157394,0.339528
123,246,0.343166,0.343006,0.157394,0.340521
124,248,0.343166,0.343006,0.157394,0.342345
125,250,0.343166,0.343006,0.157394,0.345961
126,252,0.343166,0.343006,0.157394,0.348153
127,254,0.343166,0.343006,0.157394,0.343361
128,256,0.343166,0.343006,0.157394,0.32676
129,258,0.212124,0.212848,0.295102,0.319644
130,260,0.183957,0.187062,0.329328,0.329802
131,262,0.187623,0.190507,0.329212,0.330549
132,264,0.187258,0.190143,0.329162,0.330572
133,266,0.187292,0.190181,0.329163,0.330542
134,268,0.187289,0.190177,0.329163,0.330472
135,270,0.187289,0.190177,0.329163,0.330358
136,272,0.187289,0.190177,0.329163,0.330201
137,274,0.187289,0.190177,0.329163,0.330006
138,276,0.187289,0.190177,0.329163,0.329788
139,278,0.187289,0.190177,0.329163,0.329572
140,280,0.187289,0.190177,0.329163,0.329388
141,282,0.187289,0.190177,0.329163,0.329262
142,284,0.187289,0.190177,0.329146,0.329554
143,286,0.187289,0.190177,0.329153,0.329578
144,288,0.187289,0.190177,0.329234,0.329987
145,290,0.187289,0.190177,0.329235,0.330194
146,292,0.187289,0.190177,0.329235,0.33035
147,294,0.187289,0.190177,0.329235,0.330463
148,296,0.187289,0.190177,0.329235,0.330533
149,298,0.187289,0.190177,0.329235,0.330564
150,300,0.187289,0.190177,0.329235,0.330557
