label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,cx_m,cy_m
T1_1,1.879,1.317349325573546,0.04518244488862222,29.890935307421714,0.065,0.0
T1_2,1.432,1.317349325573546,0.04518244488862222,8.006332013020527,0.05258610463437159,0.03820604139901075
T1_3,1.027,1.188566309424628,0.03377558292202765,15.73187044056748,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.7876137060748956,0.02263898091298827,4.833449497523704,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.5653954516338405,0.006462851489512478,7.2856644466490526,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.41525961547367785,0.007161050378797829,8.112370599759918,-0.065,7.960204194457795e-18
T1_7,0.2723,0.268955980153084,0.001528388978132289,1.2280645783753261,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.19753706290875123,0.003367762469809729,1.5614719325199076,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.14180372438452116,0.0016209122459485692,2.905460366125654,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.10063811923980207,0.00400430106789737,6.270453262726567,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.06745537052161518,0.0,0.6796574949480272,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.053060207529629214,0.0017991755786446913,10.220622205295411,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.033207634426407805,0.0011389553880854185,3.3256639697007104,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.022514179818377812,0.0012874339141137493,6.812169625919655,0.019798989873223326,-0.019798989873223333
