label,T1_true_s,T1_fit_s,T1_sigma_s,M0_fit,mape_pct,cx_m,cy_m
T1_1,1.879,1.9653818144110746,1.4950000000000003,18.225534914772304,4.597222693511156,0.065,0.0
T1_2,1.432,1.2729414866577213,1.4950000000000003,19.487274479952994,11.107438082561355,0.05258610463437159,0.03820604139901075
T1_3,1.027,0.8829883500825466,1.4950000000000003,18.873287975385033,14.02255598027783,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.6411478493439606,1.4950000000000003,19.256110382541436,14.661540084658503,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.4498512104739139,1.4950000000000003,20.005995518228954,14.639238999257326,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.2720478988371007,1.4950000000000003,18.51927071648125,29.17263763678712,-0.065,7.960204194457795e-18
T1_7,0.2723,0.20677844999901066,1.4950000000000003,19.026279365786426,24.062265883580366,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.157168379416876,1.4950000000000003,18.27735589052527,19.19363526124627,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.10655733890941149,1.4950000000000003,19.40968241406561,22.672468135405307,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.07737249157046962,1.4950000000000003,18.664938630417147,18.297263389155635,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.05186096606823711,1.4950000000000003,15.57262206720921,22.595573032481926,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.03597386788179424,1.4950000000000003,14.415147895514108,25.272397420452346,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.026121033219566214,1.4950000000000003,12.684960238071248,23.956235168657305,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.016918110575635827,1.4950000000000003,9.342617547041991,29.97470788230204,0.019798989873223326,-0.019798989873223333
