label,T1_true_s,T1_fit_s,T1_sigma_s,M0_fit,mape_pct,cx_m,cy_m
T1_1,1.879,3.0000000000000004,1.4950000000000003,21.89431042452947,59.65939329430551,0.065,0.0
T1_2,1.432,1.6182888012053784,1.4950000000000003,19.171266163238645,13.008994497582298,0.05258610463437159,0.03820604139901075
T1_3,1.027,0.8630314692363137,1.4950000000000003,15.977744028651399,15.965777094808786,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.5918463776053072,1.4950000000000003,15.002667318278773,21.22369524752998,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.5159872182335029,1.4950000000000003,22.248204866276733,2.089711910151255,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.13546620174672172,1.4950000000000003,16.55507225590645,64.7315277930951,-0.065,7.960204194457795e-18
T1_7,0.2723,0.23448288825889158,1.4950000000000003,18.777533203250947,13.88803222222123,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.14675068935984456,1.4950000000000003,19.541168447177167,24.54977410804907,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.11676071156150801,1.4950000000000003,20.112538976904872,15.267988707178514,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.11282470858184042,1.4950000000000003,20.198941716182894,19.139079811869493,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.06226834689392198,1.4950000000000003,17.827666834807303,7.062168815041827,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.034761188982536946,1.4950000000000003,15.237847229170734,27.79146451487963,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.07476426528190985,1.4950000000000003,14.909330566768377,117.65433852084384,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.018538100231339793,1.4950000000000003,9.774482514905362,23.269452684851856,0.019798989873223326,-0.019798989873223333
