sigma,ksp_rms_mean,snr_ksp_measured,snr_ksp_phantom,background_std_a,snr_nema_peak_a,diff_roi_std,snr_dual_peak,mape_mean_pct,mape_median_pct,mape_max_pct,mape_mean_pct_std_lo,mape_mean_pct_std_hi,mape_median_pct_std,n_seeds,n_blocks,clean_recon
0.0,949.9219055175781,Inf,Inf,2.4567082513367255,46.29456965558303,0.0,7.818722705187799e17,10.623825217993554,1.5286257048891696,56.12236931059013,1.7763568394002505e-15,0.0,4.596760034896314e-16,15.0,4.0,0.0
1.0,949.9219055175781,949.9219055175781,2966.4923420480454,2.4566527437402286,46.29766236161051,0.014836431037449123,16549.206126959554,10.631009550353212,1.5286257048891696,56.12236931059013,0.007184332359660317,0.1005806530352249,4.596760034896314e-16,15.0,4.0,0.0
3.0,949.9219055175781,316.64063517252606,988.830780682682,2.458663700008628,46.245545161115224,0.06992218685776759,3510.6341816248037,10.622876119287763,1.5286257048891696,56.12236931059013,0.07326697165527207,0.07247950842146911,4.596760034896314e-16,15.0,4.0,0.0
8.0,949.9219055175781,118.74023818969727,370.8115427560057,2.455317457422631,46.300563144990306,0.1271059723233057,1931.5002494186733,10.630535001000316,1.5286257048891696,56.12236931059013,0.040878042110968,0.10105520238812105,4.596760034896314e-16,15.0,4.0,0.0
12.0,949.9219055175781,79.16015879313152,247.2076951706705,2.4551679428286914,46.27174777840685,0.3298489519158401,743.9859827158915,12.297837566951385,1.8646034194388093,56.12236931059013,1.5577193024358351,6.04699005591395,0.9048879441152069,15.0,4.0,0.0
16.0,949.9219055175781,59.37011909484863,185.40577137800284,2.4566760642619947,46.42794932051237,0.42627462608380545,576.9412600634988,11.813555641020113,1.8260604990392295,56.12236931059013,1.0784404103693872,6.629275347582484,0.8106066221917486,15.0,4.0,0.0
22.0,949.9219055175781,43.17826843261719,134.84056100218388,2.4400408015441886,46.53918104532,0.5239602009935412,468.67826352818827,13.521652863688818,2.1652531222256703,56.18886057516469,2.5781934268103286,5.095009856230365,1.212959874537107,15.0,4.0,0.0
30.0,949.9219055175781,31.664063517252604,98.88307806826819,2.4297324828380513,46.813880510208215,0.5523977488649537,443.64005538837165,13.809387800961293,2.974663980469695,56.15561494287741,2.5628063519508384,5.051816146021646,1.4807904639874108,15.0,4.0,0.0
40.0,949.9219055175781,23.748047637939454,74.16230855120114,2.4059112145437167,47.086275640469395,1.112218868945718,220.22642275193192,13.988974550039103,3.338540273295764,56.255351839739255,2.59121072031133,5.137397200789604,1.283826786691005,15.0,4.0,0.0
45.0,949.9219055175781,21.1093756781684,65.92205204551212,2.4026474047876567,47.00254362254443,1.1872257443728107,206.85625475062304,13.730334464827253,2.779597491597945,56.15523275099765,2.646019443961888,5.216714234672204,1.394389527611493,15.0,4.0,0.0
50.0,949.9219055175781,18.99843811035156,59.329846840960904,2.4197191629093275,47.02225109566973,0.89513287592612,273.54132707311174,13.80133837585978,3.0203426989402904,56.18886057516469,2.6432048557692083,5.215287169205144,1.59987643354581,15.0,4.0,0.0
65.0,949.9219055175781,14.614183161808894,45.638343723816085,2.427111732023694,46.8766117714979,0.9873405449900708,248.88234086613167,13.135547603467028,2.4582071013352347,56.38757432887202,2.1535749318725625,5.804457500293745,1.449699331150174,15.0,4.0,0.0
