label,T1_true_s,T1_fit_s,T1_sigma_s,M0_fit,mape_pct,cx_m,cy_m
T1_1,1.879,1.920961193591006,0.03312650537261974,8.356840123790441,2.2331662368816407,0.065,0.0
T1_2,1.432,1.4270860123257465,0.0,9.101107269299373,0.34315556384451396,0.05258610463437159,0.03820604139901075
T1_3,1.027,1.0128031044124617,0.0,8.757876324527945,1.3823656852520183,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.7270496491093144,0.004179082378107657,8.683734634385946,3.227785290920486,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.5401266761514565,0.0,8.937218558929281,2.490830389270676,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.27517536222677186,0.06106577028328267,8.582094180312158,28.358406085193476,-0.065,7.960204194457795e-18
T1_7,0.2723,0.27833877894413117,0.0,8.491735922046027,2.217693332402198,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.1887086938837323,0.001084697830707096,8.085090059547365,2.977535278286742,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.13240445937299916,0.0,7.7363034601210305,3.915486666909176,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.10063811923980207,0.0,7.199551819210159,6.270453262726567,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.060860987465750915,0.0003458531109364338,6.652383310258065,9.16270527499864,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.0427021457065169,0.00048811433694282216,5.889986719247802,11.295916687750529,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.0306541122523004,0.0005286226591180773,4.937358875263638,10.759498537698978,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.021021858346932078,0.0007292963672478232,3.79700112011991,12.988996908393721,0.019798989873223326,-0.019798989873223333
