label,T1_true_s,T1_fit_s,T1_sigma_s,M0_fit,mape_pct,cx_m,cy_m
T1_1,1.879,1.856205601742656,0.0,41.590213996241815,1.2131132654254375,0.065,0.0
T1_2,1.432,1.4270860123257465,0.0,40.794867978242,0.34315556384451396,0.05258610463437159,0.03820604139901075
T1_3,1.027,1.0244462916729962,0.0,43.87143257368865,0.24865709123697619,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.7524135044317034,0.0,43.52448074445686,0.14821035960381182,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.5279189910593274,0.0,39.68087387895467,0.17438160518545662,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.3877347024901802,0.0,39.5766355959081,0.9462906769539753,-0.065,7.960204194457795e-18
T1_7,0.2723,0.2720478988371007,0.0,38.10837450315843,0.09258213841326102,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.19307242458502225,0.0,39.92637535829113,0.7339719357212138,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.13702352157279535,0.0,38.17363722934848,0.5634821677827705,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.0939674597976633,0.0,32.72195137786985,0.7735377004611474,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.06745537052161518,0.0,31.013611920148975,0.6796574949480272,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.04842343319704746,0.0,27.17245655858705,0.5887685854745625,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.034366116018720014,0.0,22.3543009248236,0.04691708506554634,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.024112439753368697,0.0,16.917201459638104,0.1968553254606963,0.019798989873223326,-0.019798989873223333
