label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,cx_m,cy_m
T1_1,1.879,0.010000000000000004,0.0004165056474463363,99.46780202235232,0.065,0.0
T1_2,1.432,0.010000000000000004,0.0015034818704359899,99.30167597765363,0.05258610463437159,0.03820604139901075
T1_3,1.027,0.011470175165026577,0.0028983584320589105,98.88313776387278,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.5653954516338405,0.15422609133065243,24.744382851878004,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.2569357414732473,0.07089151117579895,51.245589853273756,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.3498300681741845,0.047047160491710455,8.92213793955103,-0.065,7.960204194457795e-18
T1_7,0.2723,0.166412532327447,0.028672493506231286,38.88632672513882,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.12362821172678459,0.01843828073938715,36.43793741553492,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.08286509020586648,0.008017775967268381,39.86568199864552,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.05814097508598348,0.0126008792078579,38.60509494616317,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.054911266021722784,0.003434713438151764,18.04288653474212,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.039871692657429056,0.0029482061100903,17.175544957563243,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.027343054928429245,0.005587687987550919,20.39867560864848,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.013771992700061988,0.002188139817153229,42.99671895669707,0.019798989873223326,-0.019798989873223333
