label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,cx_m,cy_m
T1_1,1.879,0.8931391865719801,1.4950000000000003,52.467313114849375,0.065,0.0
T1_2,1.432,1.1225419027588197,1.4950000000000003,21.61020232131147,0.05258610463437159,0.03820604139901075
T1_3,1.027,1.0481357552731758,1.4950000000000003,2.0580092768428337,0.020086104634371583,0.06181867355918498
T1_4,0.7513,1.2584740653577182,1.4950000000000003,67.50619797121233,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.09289948704036605,1.4950000000000003,82.37201384433281,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.4550227012208389,1.4950000000000003,18.464644941639907,-0.065,7.960204194457795e-18
T1_7,0.2723,0.27833877894413117,1.4950000000000003,2.217693332402198,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.24827443896406343,1.4950000000000003,27.64752645967271,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.09184365216370095,1.4950000000000003,33.35003471429539,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.0555425260862097,1.4950000000000003,41.34896928594541,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.0555425260862097,1.4950000000000003,17.10070733401538,0.01979898987322333,0.019798989873223326
T1_12,0.04814,3.0000000000000004,1.4950000000000003,6131.823847112589,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.02996128265199026,1.4950000000000003,12.776469717641165,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.42974636314078474,1.4950000000000003,1678.751503066162,0.019798989873223326,-0.019798989873223333
