label,T1_true_s,T1_fit_s,T1_sigma_s,M0_fit,mape_pct,cx_m,cy_m
T1_1,1.879,1.920961193591006,0.0,45.118651803108214,2.2331662368816407,0.065,0.0
T1_2,1.432,1.4768713374319185,0.0,43.36494926965472,3.133473284351852,0.05258610463437159,0.03820604139901075
T1_3,1.027,1.0481357552731758,0.0,44.98246895260239,2.0580092768428337,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.7354078138655297,0.0,42.775413861270074,2.115291645743418,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.4873243244085049,0.0,38.01107624132273,7.528591193832086,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.34585412817008154,0.0019879700020514757,37.79727635205491,9.957269416797306,-0.065,7.960204194457795e-18
T1_7,0.2723,0.24827443896406343,0.0014108625353809745,37.11660623092333,8.823195385948058,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.184443590139007,0.0,39.748873345246196,5.170390674032398,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.14180372438452116,0.004122829895058744,38.47585286656434,2.905460366125654,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.10655733890941149,0.0012180222789184639,32.906729456895505,12.520949217963553,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.07142288461099237,0.0008164117607588617,31.08771291210523,6.601320314913985,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.04469988249700908,0.0018406156277247926,27.437653957372707,7.14606876400274,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.033207634426407805,0.0005726575236962329,22.86264966812327,3.3256639697007104,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.025240493325545038,0.0007255067328362196,16.733484935585647,4.47224058586522,0.019798989873223326,-0.019798989873223333
