sigma,ksp_rms_mean,snr_ksp_measured,snr_ksp_phantom,background_std_a,snr_nema_peak_a,diff_roi_std,snr_dual_peak,snr_dual_block_min,snr_dual_block_median,snr_dual_block_max,mape_mean_pct,mape_median_pct,mape_max_pct,mape_mean_pct_std_lo,mape_mean_pct_std_hi,mape_median_pct_std,n_seeds,n_blocks,clean_recon
0.0,7669.64794921875,Inf,Inf,19.8217501149554,41.76054768289606,0.0,5.690630112974733e18,6.035484856920572e18,6.424885146234651e18,8.700265086289183e18,10.549609147632491,1.5286257048891696,56.12236931059013,0.0,0.0,4.596760034896314e-16,15.0,4.0,0.0
216.0,7669.64794921875,35.50762939453125,107.3649794552876,19.51139989562832,42.423170446102496,5.327383416674826,335.08574594629704,304.05575841180257,414.23106926009723,538.4770514073145,13.006262545515334,2.3328364334395455,56.25535183973925,2.0903882545638095,5.581019109763682,1.2990635585760215,15.0,4.0,0.0
648.0,7669.64794921875,11.83587646484375,35.788326485095865,19.137266802472826,43.04484958111283,17.319978044578587,102.90149763277873,95.6852719596473,107.35130369111408,228.63897059344305,13.760417590647709,2.730694761270277,56.120840543071054,2.663263670309573,5.26943593300106,1.2469693324265585,15.0,4.0,0.0
1730.0,7669.64794921875,4.433322513999277,13.405107261469434,23.285240718261534,35.0733383704367,37.58361841373223,47.8455904972833,42.777876203611676,61.21918683713139,77.73346149457959,15.176870526596428,3.770378954363198,67.89386232749592,3.6834145980312685,4.227051101461913,1.230586544720079,15.0,4.0,0.0
2590.0,7669.64794921875,2.9612540344473937,8.953990564610857,29.77503005101181,27.018422451346336,64.2318310118663,27.318590356277006,24.533716899820533,36.67435183665249,40.78184670485299,17.525207355432837,5.436937399248935,84.2846319824478,5.366622562867203,3.7349376145559687,1.6974620994740663,15.0,4.0,0.0
3460.0,7669.64794921875,2.2166612569996387,6.702553630734717,37.57109797993048,21.69396971230956,67.39127110598515,26.068341180958175,26.219610390577945,28.77799987560461,52.54693986923066,17.616560081229014,8.051045005161775,66.8877720136035,4.4887508535172875,5.788782438403493,1.8424596320243023,15.0,4.0,0.0
4750.0,7669.64794921875,1.6146627261513158,4.882281171019393,49.81723803004584,18.25015232210831,106.967934924448,17.431864135095246,14.014520457385741,22.7234496586315,28.50723796837864,21.430458567209474,8.660317910314932,86.23302933528475,5.5084351140338175,4.548036909190563,2.671094169693585,15.0,4.0,0.0
6480.0,7669.64794921875,1.183587646484375,3.5788326485095867,66.6016897775329,12.335284296320937,119.68672592391292,14.919243018398907,13.378020639507344,21.3799653564531,23.943219645616207,137.18837713757455,12.294227205511776,1634.6758735774456,115.43943224752162,750.1891215487985,4.480950008822939,15.0,4.0,0.0
8640.0,7669.64794921875,0.8876907348632812,2.68412448638219,88.90513817790807,10.062361364930233,192.44434010624244,9.108230466526214,8.255205221309845,10.994728713649216,19.632166569449474,85.97385100352685,14.594487523671132,858.4366669787898,58.35781850351941,812.0190410279537,5.153093181131565,15.0,4.0,0.0
9720.0,7669.64794921875,0.7890584309895833,2.385888432339724,101.53940875458866,8.615780498503936,188.93759050714246,9.412482039817897,9.121210179599485,13.048202863174705,13.770880058064572,172.8621458022402,17.286573897430635,1436.118169682644,139.87763128675138,500.2378489104961,6.074400829077448,15.0,4.0,0.0
10800.0,7669.64794921875,0.710152587890625,2.1472995891057516,109.98058658091455,8.318568985390947,232.71612238436035,8.313171116217156,7.8303028141999835,9.550874961616667,12.302316852217277,87.75099108251806,16.329436623289027,851.5358934713232,59.28479043256287,821.6329395739372,4.291853079741848,15.0,4.0,0.0
14000.0,7669.64794921875,0.5478319963727678,1.6564882544530084,144.1216857323046,6.524924131821464,319.2467671696315,5.8992185348715545,5.115872204198258,7.175531188659784,10.559484052434621,215.8019091884777,26.592494586056585,2276.249025663028,169.3766794975859,386.88207903946716,7.484702281496635,15.0,4.0,0.0
