sigma,ksp_rms_mean,snr_ksp_measured,snr_ksp_phantom,background_std_a,snr_nema_peak_a,diff_roi_std,snr_dual_peak,snr_dual_block_min,snr_dual_block_median,snr_dual_block_max,mape_mean_pct,mape_median_pct,mape_max_pct,mape_mean_pct_std_lo,mape_mean_pct_std_hi,mape_median_pct_std,n_seeds,n_blocks,clean_recon
0.0,163.53030014038086,Inf,Inf,0.3646598653678121,39.37582166175874,0.0,9.871195921344102e16,9.93390459134935e16,1.1076449643947622e17,1.6391509038963098e17,6.179882967351559,1.6697467470628928,63.06538834646715,0.0,0.0,0.0,50.0,4.0,0.0
27.0,163.53030014038086,6.056677782977069,18.914279328745863,0.42198011310153205,34.41641544733249,0.6406753133216284,49.01400859801112,38.105067183826826,56.385395545874495,99.21585772645565,7.271592347553109,2.3392074199169173,63.01434105316079,0.6242801988676312,3.0451944108412023,0.6463344692619029,50.0,4.0,0.0
40.0,163.53030014038086,4.088257503509522,12.767138546903459,0.4919808396117321,29.440035543759134,0.9257834724124341,33.410894576818265,30.393307632162745,40.60397105787457,52.71860118288639,8.237695842434608,3.0898876841498746,63.10615072608314,0.8994977659519716,4.0358725835908205,0.8915830861365511,50.0,4.0,0.0
50.0,163.53030014038086,3.270606002807617,10.213710837522767,0.5665376156906551,25.513984436406854,1.2810751681129462,24.11322061354363,21.812519974307957,29.501967378083208,38.88493539376789,9.739076502971965,3.7766287762565764,62.77600467343216,1.709046355931293,4.989813904355523,1.023931793893996,50.0,4.0,0.0
60.0,163.53030014038086,2.725505002339681,8.511425697935639,0.667716828787355,21.928266249518835,1.233133413612684,25.102627251339396,24.624738991639536,27.871445471012052,46.92627648420078,11.11961528778735,4.4532088364018385,63.23695289113344,2.4879292713804135,5.647596043670318,1.405455970400093,50.0,4.0,0.0
70.0,163.53030014038086,2.3361471448625837,7.2955077410876905,0.7556807874888827,19.202910545491797,1.6549458960434384,19.321825868764105,15.574212929559083,26.871922746639314,36.063235270288295,69.49055010547733,5.372171069411109,796.1697419763624,55.75864879817649,869.1719613778386,2.0471164636931114,50.0,4.0,0.0
85.0,163.53030014038086,1.9238858840044808,6.008065198542804,0.8912766526458518,16.260745705430576,1.8621176449595125,16.958465811643652,16.14854771062483,17.710001008994475,32.267339936879765,71.32609476053645,5.877965145680336,811.262164200232,55.92482763139519,866.3893356159213,1.6292720794982143,50.0,4.0,0.0
100.0,163.53030014038086,1.6353030014038086,5.106855418761383,1.0392371596017371,13.794501710700295,2.0421890432821295,14.930982210083032,12.857987417397444,21.690876766980885,26.697927316409483,71.90126553113136,6.994463386529012,810.6244783236971,55.694732573085275,865.8899080950324,2.411348626838803,50.0,4.0,0.0
120.0,163.53030014038086,1.3627525011698405,4.2557128489678195,1.2456774296457376,12.276838467836944,2.7052721548742946,11.792483997997644,12.644158144096147,14.028837589465784,17.07645426025074,73.03349355717047,8.740758614544625,778.1078384038088,53.67482771369989,835.2652280100712,2.466486324081695,50.0,4.0,0.0
150.0,163.53030014038086,1.0902020009358724,3.4045702791742554,1.5519827056657074,9.458050986989646,3.0001618080042407,10.762513547093437,9.240978961575358,13.464960544505107,16.80427679607832,123.78505864037645,11.587172313642618,1453.3041084401166,101.25886897803346,745.6393393941939,3.6973273765122707,50.0,4.0,0.0
200.0,163.53030014038086,0.8176515007019043,2.5534277093806916,2.0380767532057353,7.736985721062305,4.022361883561725,8.135650151243418,9.263161121980659,11.401507812414064,13.133785115901498,203.52016489798692,16.80788620535674,2237.299112847084,171.84252235194643,576.3743556792705,6.703624361710964,50.0,4.0,0.0
260.0,163.53030014038086,0.6289626928476187,1.9641751610620706,2.6271874494857164,5.909180595131275,5.289081568995508,6.479791658976721,7.007520056474684,8.375357715262641,11.691360836444725,200.7347326941178,25.851466034934106,1747.1057381938147,153.87159203127655,498.54113328534856,10.693890714100228,50.0,4.0,0.0
