label,block,TI_s,TR_s,mag
T1_1,1,0.5267906527739611,1.924361466475314,6.326617240905762
T1_1,2,0.16531284070526012,0.6038388190134603,4.429267883300781
T1_1,3,0.02942138767029619,0.5428325171784077,4.14246940612793
T1_1,4,0.03197165266025469,0.668960134709434,8.380998611450195
T1_2,1,0.5267906527739611,1.924361466475314,2.5118513107299805
T1_2,2,0.16531284070526012,0.6038388190134603,9.420371055603027
T1_2,3,0.02942138767029619,0.5428325171784077,9.606393814086914
T1_2,4,0.03197165266025469,0.668960134709434,14.795592308044434
T1_3,1,0.5267906527739611,1.924361466475314,10.068502426147461
T1_3,2,0.16531284070526012,0.6038388190134603,0.403423935174942
T1_3,3,0.02942138767029619,0.5428325171784077,6.59609842300415
T1_3,4,0.03197165266025469,0.668960134709434,14.709417343139648
T1_4,1,0.5267906527739611,1.924361466475314,12.233907699584961
T1_4,2,0.16531284070526012,0.6038388190134603,5.662235736846924
T1_4,3,0.02942138767029619,0.5428325171784077,8.826356887817383
T1_4,4,0.03197165266025469,0.668960134709434,6.232750415802002
T1_5,1,0.5267906527739611,1.924361466475314,11.79025650024414
T1_5,2,0.16531284070526012,0.6038388190134603,2.644143581390381
T1_5,3,0.02942138767029619,0.5428325171784077,2.8529248237609863
T1_5,4,0.03197165266025469,0.668960134709434,7.202540874481201
T1_6,1,0.5267906527739611,1.924361466475314,7.811336994171143
T1_6,2,0.16531284070526012,0.6038388190134603,8.809192657470703
T1_6,3,0.02942138767029619,0.5428325171784077,7.6767072677612305
T1_6,4,0.03197165266025469,0.668960134709434,6.979086399078369
T1_7,1,0.5267906527739611,1.924361466475314,10.200389862060547
T1_7,2,0.16531284070526012,0.6038388190134603,7.094764232635498
T1_7,3,0.02942138767029619,0.5428325171784077,7.307465553283691
T1_7,4,0.03197165266025469,0.668960134709434,8.553847312927246
T1_8,1,0.5267906527739611,1.924361466475314,10.099428176879883
T1_8,2,0.16531284070526012,0.6038388190134603,3.2339582443237305
T1_8,3,0.02942138767029619,0.5428325171784077,3.672316551208496
T1_8,4,0.03197165266025469,0.668960134709434,1.5201035737991333
T1_9,1,0.5267906527739611,1.924361466475314,6.948424339294434
T1_9,2,0.16531284070526012,0.6038388190134603,6.050130367279053
T1_9,3,0.02942138767029619,0.5428325171784077,5.896922588348389
T1_9,4,0.03197165266025469,0.668960134709434,13.38646125793457
T1_10,1,0.5267906527739611,1.924361466475314,7.973696231842041
T1_10,2,0.16531284070526012,0.6038388190134603,4.401725769042969
T1_10,3,0.02942138767029619,0.5428325171784077,3.2434582710266113
T1_10,4,0.03197165266025469,0.668960134709434,2.7023773193359375
T1_11,1,0.5267906527739611,1.924361466475314,14.346799850463867
T1_11,2,0.16531284070526012,0.6038388190134603,6.161451816558838
T1_11,3,0.02942138767029619,0.5428325171784077,3.7684874534606934
T1_11,4,0.03197165266025469,0.668960134709434,8.087034225463867
T1_12,1,0.5267906527739611,1.924361466475314,2.7447011470794678
T1_12,2,0.16531284070526012,0.6038388190134603,7.90958833694458
T1_12,3,0.02942138767029619,0.5428325171784077,1.0368492603302002
T1_12,4,0.03197165266025469,0.668960134709434,10.05150032043457
T1_13,1,0.5267906527739611,1.924361466475314,2.684054374694824
T1_13,2,0.16531284070526012,0.6038388190134603,9.84815788269043
T1_13,3,0.02942138767029619,0.5428325171784077,8.225434303283691
T1_13,4,0.03197165266025469,0.668960134709434,2.1217539310455322
T1_14,1,0.5267906527739611,1.924361466475314,5.312338829040527
T1_14,2,0.16531284070526012,0.6038388190134603,1.7566980123519897
T1_14,3,0.02942138767029619,0.5428325171784077,9.238526344299316
T1_14,4,0.03197165266025469,0.668960134709434,9.608992576599121
