label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,cx_m,cy_m
T1_1,1.838,0.8829883500825466,0.0,51.9592845439311,0.065,0.0
T1_2,1.398,1.0723730179041349,0.0,23.292344928173467,0.05258610463437159,0.03820604139901075
T1_3,0.9983,1.2160509111576605,0.0,21.81217180783938,0.020086104634371583,0.06181867355918498
T1_4,0.7258,0.6635149343304443,0.0,8.581574217354053,-0.020086104634371577,0.06181867355918499
T1_5,0.5091,0.4602536434395457,0.0,9.59464870564806,-0.05258610463437158,0.03820604139901076
T1_6,0.367,0.3661961871606902,0.0,0.21902257201901998,-0.065,7.960204194457795e-18
T1_7,0.2587,0.25401557769676286,0.0,1.8107546591562131,-0.05258610463437159,-0.038206041399010744
T1_8,0.1847,0.2371785041841341,0.0,28.412833884209043,-0.02008610463437159,-0.06181867355918498
T1_9,0.1308,0.13089963679016559,0.0,0.07617491602873541,0.02008610463437157,-0.06181867355918499
T1_10,0.0909,0.09079981721644662,0.0,0.1102120831170288,0.05258610463437158,-0.03820604139901077
T1_11,0.0642,0.06444064055188138,0.0,0.3748295200644675,0.01979898987322333,0.019798989873223326
T1_12,0.04628,0.04679107951574165,0.0,1.1043204748090931,-0.019798989873223326,0.01979898987322333
T1_13,0.03265,0.03208820524254918,0.0,1.7206577563578,-0.019798989873223333,-0.019798989873223326
T1_14,0.02295,0.02225829835951223,0.0,3.0139505032146983,0.019798989873223326,-0.019798989873223333
