label,T1_true_s,T1_fit_s,T1_sigma_s,M0_fit,mape_pct,cx_m,cy_m
T1_1,1.879,1.7134714911797262,0.0,9.865428877366481,8.80939376371867,0.065,0.0
T1_2,1.432,1.5998963879503216,0.0,8.2960487940539,11.724608097089503,0.05258610463437159,0.03820604139901075
T1_3,1.027,1.1484997453136052,0.0,7.715634192237104,11.830549689737616,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.824460680654011,0.0,7.659756536775,9.737878431253966,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.5851198383421564,0.0,7.877991829165312,11.028432322989827,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.43968388832847194,0.0,7.88680329100431,14.471202376587334,-0.065,7.960204194457795e-18
T1_7,0.2723,0.30499104254383375,0.0,7.263796831621249,12.005524254070423,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.21645217740097883,0.0,6.780953686496017,11.286466530066233,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.14843773568640614,0.0,6.3522843812665295,7.719692080120563,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.102965291568796,0.0,5.84584905034485,8.72786860485321,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.07562375548023277,0.0,5.194472773746335,12.871276836168308,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.05428718044671442,0.0,4.4595897344481195,12.76938190011304,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.0368057334863363,0.0,3.5707592467528646,7.149151343045995,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.025530658105902895,0.0,2.58774717332172,5.673253749598073,0.019798989873223326,-0.019798989873223333
