variant,label,T1_true_s,T1_fit_s,T1_sigma_s,mape_vs_true_pct,rel_vs_koma_pct
koma_full,T1_1,1.879,1.814252529523045,0.0,3.445847284563867,0.0
koma_full,T1_2,1.432,1.3789789502700562,0.0,3.7025872716441137,0.0
koma_full,T1_3,1.027,0.956542276970287,0.005435717296216336,6.86053778283475,0.0
koma_full,T1_4,0.7513,0.6788581621919336,0.003902077645352553,9.642198563565334,0.0
koma_full,T1_5,0.527,0.4550227012208389,0.0026154711093534233,13.657931457146328,0.0
koma_full,T1_6,0.3841,0.33419538730765835,0.003820078761525403,12.99260939660027,0.0
koma_full,T1_7,0.2723,0.23448288825889158,0.0026802976204884366,13.88803222222123,0.0
koma_full,T1_8,0.1945,0.16265135577436082,0.0028048827997669695,16.374624280534285,0.0
koma_full,T1_9,0.1378,0.11412174174051708,0.002609147453419801,17.183061146214026,0.0
koma_full,T1_10,0.0947,0.07476426528190985,0.0021490062471434465,21.051462215512302,0.0
koma_full,T1_11,0.067,0.05618104311812582,0.0012844583630297265,16.14769683861818,0.0
koma_full,T1_12,0.04814,0.04079369219958486,0.0009326597762602251,15.260298712952098,0.0
koma_full,T1_13,0.03435,0.02765739076272892,0.0009485931405142159,19.483578565563555,0.0
koma_full,T1_14,0.02416,0.018966778293056062,0.0009704605690516472,21.495122959205045,0.0
hybrid_cached,T1_1,1.879,1.793632920558832,0.0,4.543218703627891,1.1365346680615491
hybrid_cached,T1_2,1.432,1.3633063764349658,0.0,4.797040751748196,1.1365346680615525
hybrid_cached,T1_3,1.027,0.9456708423778544,0.0,7.9191000605789235,1.136534668061553
hybrid_cached,T1_4,0.7513,0.6788581621919336,0.0,9.642198563565334,0.0
hybrid_cached,T1_5,0.527,0.4550227012208389,0.005201216482815907,13.657931457146328,0.0
hybrid_cached,T1_6,0.3841,0.33419538730765835,0.005697617785671738,12.99260939660027,0.0
hybrid_cached,T1_7,0.2723,0.23448288825889158,0.0026802976204884366,13.88803222222123,0.0
hybrid_cached,T1_8,0.1945,0.16265135577436082,0.0028048827997669695,16.374624280534285,0.0
hybrid_cached,T1_9,0.1378,0.11412174174051708,0.002609147453419801,17.183061146214026,0.0
hybrid_cached,T1_10,0.0947,0.07476426528190985,0.0021490062471434465,21.051462215512302,0.0
hybrid_cached,T1_11,0.067,0.05618104311812582,0.0012844583630297265,16.14769683861818,0.0
hybrid_cached,T1_12,0.04814,0.04079369219958486,0.0009326597762602251,15.260298712952098,0.0
hybrid_cached,T1_13,0.03435,0.02765739076272892,0.0011004629279940843,19.483578565563555,0.0
hybrid_cached,T1_14,0.02416,0.018966778293056062,0.0009704605690516472,21.495122959205045,0.0
hybrid_cached_perline,T1_1,1.879,1.814252529523045,0.0,3.445847284563867,0.0
hybrid_cached_perline,T1_2,1.432,1.3789789502700562,0.0,3.7025872716441137,0.0
hybrid_cached_perline,T1_3,1.027,0.9456708423778544,0.005435717296216336,7.9191000605789235,1.136534668061553
hybrid_cached_perline,T1_4,0.7513,0.6788581621919336,0.003902077645352553,9.642198563565334,0.0
hybrid_cached_perline,T1_5,0.527,0.4550227012208389,0.0026154711093534233,13.657931457146328,0.0
