label,T1_true_s,T1_fit_s,T1_sigma_s,M0_fit,mape_pct,cx_m,cy_m
T1_1,1.879,1.5998963879503216,0.0,73.16619844991034,14.853837788700286,0.065,0.0
T1_2,1.432,1.3324935770261417,0.0,43.44562032590936,6.9487725540403815,0.05258610463437159,0.03820604139901075
T1_3,1.027,1.0362233290461473,0.0,39.35941141363375,0.8980846198780352,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.7354078138655297,0.0,41.58261628032462,2.115291645743418,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.49292660617579204,0.0,37.576174328189694,6.465539625086904,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.5043251216367557,0.0,52.182463471497755,31.30047426106631,-0.065,7.960204194457795e-18
T1_7,0.2723,0.28804890607010947,0.0,41.20008997511429,5.783659959643585,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.19087808954514648,0.0,40.27467325353451,1.8621647582794456,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.14180372438452116,0.0,39.30606741840781,2.905460366125654,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.09289948704036605,0.0,33.88865991621842,1.901280844386441,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.06593077646348008,0.0,31.455157587897272,1.5958560246565965,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.05367018782062437,0.0,27.834639538806805,11.487718779859506,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.033589389482668555,0.0,22.87724840650166,2.214295538082805,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.02765739076272892,0.0,17.123192098090833,14.47595514374552,0.019798989873223326,-0.019798989873223333
