label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,cx_m,cy_m
T1_1,1.879,1.0971707469602558,1.4950000000000003,41.6087947333552,0.065,0.0
T1_2,1.432,1.188566309424628,1.4950000000000003,16.99955939772151,0.05258610463437159,0.03820604139901075
T1_3,1.027,1.1484997453136052,1.4950000000000003,11.830549689737616,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.5918463776053072,1.4950000000000003,21.22369524752998,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.5043251216367557,1.4950000000000003,4.302633465511258,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.3877347024901802,1.4950000000000003,0.9462906769539753,-0.065,7.960204194457795e-18
T1_7,0.2723,0.2720478988371007,1.4950000000000003,0.09258213841326102,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.23181790894315724,1.4950000000000003,19.186585574888035,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.16080276672791305,1.4950000000000003,16.692864098630654,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,2.7693130915633586,1.4950000000000003,2824.301047057401,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.031006512010658203,1.4950000000000003,53.72162386468925,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.061560645544243744,1.4950000000000003,27.87836631542115,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.031723511665608856,1.4950000000000003,7.646254248591392,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.01770959145706153,1.4950000000000003,26.6987108565334,0.019798989873223326,-0.019798989873223333
