label,block,TI_s,TR_s,mag
T1_9,9,0.35,5.0,32.19348907470703
T1_9,10,0.55,5.0,36.81619644165039
T1_9,11,0.85,5.0,38.05904769897461
T1_9,12,1.3,5.0,38.18468475341797
T1_9,13,2.0,5.0,38.158634185791016
T1_9,14,2.8,5.0,38.14034652709961
T1_10,1,0.015,5.0,23.00860023498535
T1_10,2,0.022,5.0,19.032224655151367
T1_10,3,0.032,5.0,13.83907413482666
T1_10,4,0.045,5.0,7.859131813049316
T1_10,5,0.065,5.0,0.1630142331123352
T1_10,6,0.1,5.0,10.04520034790039
T1_10,7,0.15,5.0,19.37300682067871
T1_10,8,0.22,5.0,26.382770538330078
T1_10,9,0.35,5.0,31.167142868041992
T1_10,10,0.55,5.0,32.58970642089844
T1_10,11,0.85,5.0,32.76005554199219
T1_10,12,1.3,5.0,32.737178802490234
T1_10,13,2.0,5.0,32.69978332519531
T1_10,14,2.8,5.0,32.67334747314453
T1_11,1,0.015,5.0,18.608680725097656
T1_11,2,0.022,5.0,13.707377433776855
T1_11,3,0.032,5.0,7.528958320617676
T1_11,4,0.045,5.0,0.7561758160591125
T1_11,5,0.065,5.0,7.427879810333252
T1_11,6,0.1,5.0,16.998842239379883
T1_11,7,0.15,5.0,24.334915161132812
T1_11,8,0.22,5.0,28.622791290283203
T1_11,9,0.35,5.0,30.623144149780273
T1_11,10,0.55,5.0,30.954925537109375
T1_11,11,0.85,5.0,30.986513137817383
T1_11,12,1.3,5.0,31.000560760498047
T1_11,13,2.0,5.0,31.01216697692871
T1_11,14,2.8,5.0,31.018199920654297
T1_12,1,0.015,5.0,12.720972061157227
T1_12,2,0.022,5.0,7.368603706359863
T1_12,3,0.032,5.0,0.9466760754585266
T1_12,4,0.045,5.0,5.649227142333984
T1_12,5,0.065,5.0,12.898651123046875
T1_12,6,0.1,5.0,20.201303482055664
T1_12,7,0.15,5.0,24.647916793823242
T1_12,8,0.22,5.0,26.542354583740234
T1_12,9,0.35,5.0,27.108034133911133
T1_12,10,0.55,5.0,27.1693115234375
T1_12,11,0.85,5.0,27.18744659423828
T1_12,12,1.3,5.0,27.2014102935791
T1_12,13,2.0,5.0,27.211694717407227
T1_12,14,2.8,5.0,27.216426849365234
T1_13,1,0.015,5.0,6.458000183105469
T1_13,2,0.022,5.0,1.1338881254196167
T1_13,3,0.032,5.0,4.807685852050781
T1_13,4,0.045,5.0,10.336075782775879
T1_13,5,0.065,5.0,15.626934051513672
T1_13,6,0.1,5.0,19.89213752746582
T1_13,7,0.15,5.0,21.734783172607422
T1_13,8,0.22,5.0,22.228593826293945
T1_13,9,0.35,5.0,22.318105697631836
T1_13,10,0.55,5.0,22.339292526245117
T1_13,11,0.85,5.0,22.355480194091797
T1_13,12,1.3,5.0,22.36810302734375
T1_13,13,2.0,5.0,22.37691307067871
T1_13,14,2.8,5.0,22.38058853149414
T1_14,1,0.015,5.0,1.1932241916656494
T1_14,2,0.022,5.0,3.386833906173706
T1_14,3,0.032,5.0,7.9963884353637695
T1_14,4,0.045,5.0,11.731223106384277
T1_14,5,0.065,5.0,14.668635368347168
T1_14,6,0.1,5.0,16.388002395629883
T1_14,7,0.15,5.0,16.821704864501953
T1_14,8,0.22,5.0,16.864486694335938
T1_14,9,0.35,5.0,16.867799758911133
T1_14,10,0.55,5.0,16.881061553955078
T1_14,11,0.85,5.0,16.895225524902344
T1_14,12,1.3,5.0,16.908220291137695
T1_14,13,2.0,5.0,16.919239044189453
T1_14,14,2.8,5.0,16.925060272216797
