label,block,TI_s,TR_s,mag
T1_9,3,0.032,5.0,-0.25313127040863037
T1_9,4,0.045,5.0,-0.22493240237236023
T1_9,5,0.065,5.0,0.025194764137268066
T1_9,6,0.1,5.0,0.20584431290626526
T1_9,7,0.15,5.0,0.36993059515953064
T1_9,8,0.22,5.0,0.5315368175506592
T1_9,9,0.35,5.0,0.5522174835205078
T1_9,10,0.55,5.0,0.6969383955001831
T1_9,11,0.85,5.0,0.5943885445594788
T1_9,12,1.3,5.0,0.596515953540802
T1_9,13,2.0,5.0,0.7170321941375732
T1_9,14,2.8,5.0,0.617904782295227
T1_10,1,0.015,5.0,0.07965174317359924
T1_10,2,0.022,5.0,0.029101630672812462
T1_10,3,0.032,5.0,0.0589849054813385
T1_10,4,0.045,5.0,0.12837912142276764
T1_10,5,0.065,5.0,-0.0003921389579772949
T1_10,6,0.1,5.0,-0.11146777123212814
T1_10,7,0.15,5.0,-0.1309898942708969
T1_10,8,0.22,5.0,-0.17811700701713562
T1_10,9,0.35,5.0,-0.2359653115272522
T1_10,10,0.55,5.0,-0.16055989265441895
T1_10,11,0.85,5.0,-0.21651268005371094
T1_10,12,1.3,5.0,-0.23666095733642578
T1_10,13,2.0,5.0,-0.3336524963378906
T1_10,14,2.8,5.0,-0.27753689885139465
T1_11,1,0.015,5.0,-0.3049783706665039
T1_11,2,0.022,5.0,-0.45746302604675293
T1_11,3,0.032,5.0,0.1710805743932724
T1_11,4,0.045,5.0,0.010979047045111656
T1_11,5,0.065,5.0,-0.16584494709968567
T1_11,6,0.1,5.0,-0.349996954202652
T1_11,7,0.15,5.0,-0.6648285388946533
T1_11,8,0.22,5.0,-0.6194078922271729
T1_11,9,0.35,5.0,-0.6188005805015564
T1_11,10,0.55,5.0,-0.7718562483787537
T1_11,11,0.85,5.0,-0.703504741191864
T1_11,12,1.3,5.0,-0.7702678442001343
T1_11,13,2.0,5.0,-0.8308659195899963
T1_11,14,2.8,5.0,-0.8552521467208862
T1_12,1,0.015,5.0,0.0550268292427063
T1_12,2,0.022,5.0,0.0055811405181884766
T1_12,3,0.032,5.0,0.049969855695962906
T1_12,4,0.045,5.0,0.04927936941385269
T1_12,5,0.065,5.0,0.19787457585334778
T1_12,6,0.1,5.0,0.215957373380661
T1_12,7,0.15,5.0,0.20375990867614746
T1_12,8,0.22,5.0,0.24109318852424622
T1_12,9,0.35,5.0,0.22359102964401245
T1_12,10,0.55,5.0,0.09251946210861206
T1_12,11,0.85,5.0,0.19318968057632446
T1_12,12,1.3,5.0,0.1340121328830719
T1_12,13,2.0,5.0,0.24382084608078003
T1_12,14,2.8,5.0,0.08066892623901367
T1_13,1,0.015,5.0,0.31471484899520874
T1_13,2,0.022,5.0,0.5065270662307739
T1_13,3,0.032,5.0,0.0331537127494812
T1_13,4,0.045,5.0,0.3072933554649353
T1_13,5,0.065,5.0,0.3131129741668701
T1_13,6,0.1,5.0,0.3642804026603699
T1_13,7,0.15,5.0,0.603351891040802
T1_13,8,0.22,5.0,0.4913332462310791
T1_13,9,0.35,5.0,0.520419716835022
T1_13,10,0.55,5.0,0.6454830169677734
T1_13,11,0.85,5.0,0.5860640406608582
T1_13,12,1.3,5.0,0.6325613260269165
T1_13,13,2.0,5.0,0.6071335077285767
T1_13,14,2.8,5.0,0.6896900534629822
T1_14,1,0.015,5.0,-0.038696110248565674
T1_14,2,0.022,5.0,-0.028711095452308655
T1_14,3,0.032,5.0,-0.0600506067276001
T1_14,4,0.045,5.0,-0.03252685070037842
T1_14,5,0.065,5.0,-0.20904815196990967
T1_14,6,0.1,5.0,-0.1712075024843216
T1_14,7,0.15,5.0,-0.13179294764995575
T1_14,8,0.22,5.0,-0.21331174671649933
T1_14,9,0.35,5.0,-0.1455598771572113
T1_14,10,0.55,5.0,-0.08458799123764038
T1_14,11,0.85,5.0,-0.11466217041015625
T1_14,12,1.3,5.0,-0.028966188430786133
T1_14,13,2.0,5.0,-0.2133651077747345
T1_14,14,2.8,5.0,-0.08599650859832764
