label,T1_true_s,T1_fit_s,T1_sigma_s,M0_fit,mape_pct,cx_m,cy_m
T1_1,1.879,2.9321954332318185,0.7270180554845925,9.358004603182131,56.05084796337512,0.065,0.0
T1_2,1.432,0.010000000000000004,0.3155739246719803,4.063884145452818,99.30167597765363,0.05258610463437159,0.03820604139901075
T1_3,1.027,0.011870323715768061,0.3192592433874731,3.555346500363249,98.84417490596222,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.6055323300394583,0.11706152146676116,4.503869942201327,19.402059092312218,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.24545271389330148,0.07198801209909099,6.344884003395995,53.424532468064236,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.41054004598136035,0.05381256234891174,8.12940897122035,6.883636027430448,-0.065,7.960204194457795e-18
T1_7,0.2723,0.17620039742332572,0.05400962064830235,6.097042193640014,35.2918114493846,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.102965291568796,0.022605135233865974,4.59802874594171,47.0615467512617,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.08286509020586648,0.00853969344089555,4.4666275432898725,39.86568199864552,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.054911266021722784,0.02460566887246117,5.893724376799973,42.01555858318608,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.07224396228797655,0.01537874999002966,4.4475584352684,7.826809385039627,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.054911266021722784,0.005028274036080926,3.7296707422907858,14.06577902310507,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.01509072658661435,0.004925551641831503,2.9835793420448944,56.06775375075881,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.010000000000000004,0.0012842495303969715,2.4210581154184405,58.6092715231788,0.019798989873223326,-0.019798989873223333
