label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,cx_m,cy_m
T1_1,1.879,1.2022300709710754,0.08251666135688474,36.017558756196095,0.065,0.0
T1_2,1.432,2.1291003394291823,0.257615546040591,48.68019130092056,0.05258610463437159,0.03820604139901075
T1_3,1.027,0.018538100231339793,0.005914003951911282,98.19492694923663,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.76106325213813,0.026102946104682945,1.2995144600199664,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.6195347586760789,0.031699324216394875,17.558777737396365,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.37040597953062876,0.002104896184969285,3.5652227204819678,-0.065,7.960204194457795e-18
T1_7,0.2723,0.21645217740097883,0.008711447844319556,20.5096667642384,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.3538517155954575,0.028342950176361265,81.9289026197725,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.22400332843796816,0.02167388581700859,62.55684211753857,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.06444064055188138,0.0022101849781228436,31.952861085658522,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.0427021457065169,0.0016990803181314643,36.26545416937777,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.034761188982536946,0.0034020532198210524,27.79146451487963,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.011870323715768061,0.003362915191881372,65.44301683910317,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,1.4938494543694758,0.22279716932989646,6083.151715105446,0.019798989873223326,-0.019798989873223333
