alpha_deg,block,TI_s,variant,target,ksp_relerr,img_relerr
30.0,5,0.7,cached,koma_water5,0.0539404649411774,0.03441009173470494
30.0,5,0.7,koma_water0,koma_water5,0.05336006170698347,0.03409856274085796
30.0,5,0.7,water_cached,water0,0.0031771395811197108,0.002126014632974806
30.0,5,0.7,water0,water5,0.08326027921258433,0.036591865815097484
30.0,6,1.1,cached,koma_water0,0.0042751873500961,0.00570017013220292
30.0,6,1.1,cached,koma_water5,0.03689668660443834,0.030428787459728462
30.0,6,1.1,koma_water0,koma_water5,0.035209382076538676,0.029601861033575583
30.0,6,1.1,water_cached,water0,0.010539867904445877,0.0070976068523261
30.0,6,1.1,water0,water5,0.08635623091835216,0.03690306893079862
30.0,7,1.6,cached,koma_water0,0.007526509992495206,0.015851135354942585
30.0,7,1.6,cached,koma_water5,0.015655088571486703,0.019197754781943528
30.0,7,1.6,koma_water0,koma_water5,0.013742918824393024,0.013968989846509725
30.0,7,1.6,water_cached,water0,0.06607721363358,0.04406646944356057
30.0,7,1.6,water0,water5,0.12090718351199517,0.03922873438966082
30.0,8,2.2,cached,koma_water0,0.009427416408807418,0.006847540115784611
30.0,8,2.2,cached,koma_water5,0.058608773191539884,0.028154265933485474
30.0,8,2.2,koma_water0,koma_water5,0.057580538510965125,0.028325374061638257
30.0,8,2.2,water_cached,water0,0.013323109020977551,0.00881536995038432
30.0,8,2.2,water0,water5,0.0811913739764418,0.03654562967903149
17.0,1,0.05,cached,koma_water0,0.0017698263291495823,0.0014776812369323648
17.0,1,0.05,cached,koma_water5,0.10637040276343596,0.04204594307303516
17.0,1,0.05,koma_water0,koma_water5,0.1055960946861855,0.041588877301012336
17.0,1,0.05,water_cached,water0,0.0016987784806352288,0.0015559163799733918
17.0,1,0.05,water0,water5,0.10140830190675115,0.043925941614027325
17.0,2,0.1,cached,koma_water0,0.0015152656800388742,0.00142152432741133
17.0,2,0.1,cached,koma_water5,0.09270473506820548,0.03940323703150462
17.0,2,0.1,koma_water0,koma_water5,0.09250690361001919,0.03941535397428934
17.0,2,0.1,water_cached,water0,0.001585034558873616,0.0014818836542934066
17.0,2,0.1,water0,water5,0.09669719781070737,0.04125239251995322
17.0,3,0.2,cached,koma_water0,0.001403623568397763,0.0012981635779110675
17.0,3,0.2,cached,koma_water5,0.08484517423884491,0.0398556549951271
17.0,3,0.2,koma_water0,koma_water5,0.08466754613188399,0.039864549612600005
17.0,3,0.2,water_cached,water0,0.0016146135314535624,0.0013439549394004323
17.0,3,0.2,water0,water5,0.09715420065767959,0.04117209977739281
17.0,4,0.4,cached,koma_water0,0.0013675900849390893,0.0010717803431795757
17.0,4,0.4,cached,koma_water5,0.07580215129020867,0.039910399587619
17.0,4,0.4,koma_water0,koma_water5,0.07541953819120518,0.039808465769740044
17.0,4,0.4,water_cached,water0,0.0017734290252717797,0.0011090679163562496
17.0,4,0.4,water0,water5,0.09736396142461375,0.041400455575485474
17.0,5,0.7,cached,koma_water0,0.0018261114845271695,0.0013786736283870114
17.0,5,0.7,cached,koma_water5,0.06442050413097299,0.03851541774962242
17.0,5,0.7,koma_water0,koma_water5,0.06365180718917504,0.03822368350380231
17.0,5,0.7,water_cached,water0,0.002836902428928884,0.0014783201525023282
17.0,5,0.7,water0,water5,0.09817637189571218,0.041202874848258915
17.0,6,1.1,cached,koma_water0,0.00487037100372763,0.0054928841251643415
17.0,6,1.1,cached,koma_water5,0.04590028695391259,0.03465469816662617
17.0,6,1.1,koma_water0,koma_water5,0.043697934366319455,0.033610888876265524
17.0,6,1.1,water_cached,water0,0.011867813069081789,0.0068191776208756305
17.0,6,1.1,water0,water5,0.10495246021057268,0.04180377066240115
17.0,7,1.6,cached,koma_water0,0.009637229301789601,0.01838382981151096
17.0,7,1.6,cached,koma_water5,0.021764454531612076,0.02304498251723815
17.0,7,1.6,koma_water0,koma_water5,0.020902860930434107,0.018941066857647265
17.0,7,1.6,water_cached,water0,0.08253675794237675,0.05044104733109535
17.0,7,1.6,water0,water5,0.17789657249211213,0.05243849313615155
17.0,8,2.2,cached,koma_water0,0.012873123535222132,0.008679178426102314
17.0,8,2.2,cached,koma_water5,0.06804629639358065,0.03117506911125185
17.0,8,2.2,koma_water0,koma_water5,0.06808350394865317,0.031700334232885256
17.0,8,2.2,water_cached,water0,0.017899921199753033,0.011104851725137794
17.0,8,2.2,water0,water5,0.09418591108878054,0.040832708877379255
5.0,1,0.05,cached,koma_water0,0.00037353422147403916,0.00015499896328069636
5.0,1,0.05,cached,koma_water5,0.210721626487787,0.08409290672323814
5.0,1,0.05,koma_water0,koma_water5,0.2108381030446485,0.08405103769933184
5.0,1,0.05,water_cached,water0,0.00036451179583434453,0.0001644314081382694
5.0,1,0.05,water0,water5,0.20488084828538378,0.09048955070998115
5.0,2,0.1,cached,koma_water0,3.469121764644583e-9,2.9154683520183235e-8
5.0,2,0.1,cached,koma_water5,0.1813944098781347,0.058560658437131784
5.0,2,0.1,koma_water0,koma_water5,0.1813944098781347,0.058560658437131784
5.0,2,0.1,water_cached,water0,3.393338250577974e-9,3.1758233574057406e-8
5.0,2,0.1,water0,water5,0.1902546366746787,0.06292742937615241
5.0,3,0.2,cached,koma_water0,0.0007026829994114998,0.00035848133684104
5.0,3,0.2,cached,koma_water5,0.16802351334767748,0.05956683512000706
5.0,3,0.2,koma_water0,koma_water5,0.1676877805114178,0.05947193248170857
5.0,3,0.2,water_cached,water0,0.0008145013926171145,0.0003681627006274565
5.0,3,0.2,water0,water5,0.19127423279517963,0.06278144168682447
5.0,4,0.4,cached,koma_water0,0.0022207958445206784,0.001261852482861341
5.0,4,0.4,cached,koma_water5,0.15212503713803402,0.05924224477540029
5.0,4,0.4,koma_water0,koma_water5,0.1510946425091341,0.058925412263717634
5.0,4,0.4,water_cached,water0,0.0028938471440734977,0.0013102732808026507
5.0,4,0.4,water0,water5,0.19158581193573482,0.06326570295698027
5.0,5,0.7,cached,koma_water0,0.005109602231497705,0.0033619976669966812
5.0,5,0.7,cached,koma_water5,0.13672704136152714,0.05766716510789248
5.0,5,0.7,koma_water0,koma_water5,0.1341637811370258,0.056808274732826895
