alpha_deg,variant,label,T1_true_s,T1_fit_s,mape_vs_true_pct,rel_vs_truth_pct
90.0,koma_water5,T1_1,1.879,1.814252529523045,3.445847284563867,6.628362585198776
90.0,koma_water5,T1_2,1.432,1.3948316960568534,2.5955519513370473,0.0
90.0,koma_water5,T1_3,1.027,0.9456708423778544,7.9191000605789235,2.26015222560605
90.0,koma_water5,T1_4,0.7513,0.6866623174826387,8.60344503092789,1.1365346680615582
90.0,koma_water5,T1_5,0.527,0.49292660617579204,6.465539625086904,3.4886001737930057
90.0,koma_water5,T1_6,0.3841,0.33419538730765835,12.99260939660027,17.66033503824305
90.0,koma_water5,T1_7,0.2723,0.24827443896406343,8.823195385948058,1.149600273716491
90.0,koma_water5,T1_8,0.1945,0.166412532327447,14.440857415194353,2.260152225606066
90.0,koma_water5,T1_9,0.1378,0.11810299302121237,14.293909273430797,2.2601522256060775
90.0,koma_water5,T1_10,0.0947,0.0847812761046428,10.47383727070455,3.488600173793051
90.0,koma_water5,T1_11,0.067,0.05618104311812582,16.14769683861818,2.2601522256060327
90.0,koma_water5,T1_12,0.04814,0.039871692657429056,17.175544957563243,3.3709994800726726
90.0,koma_water5,T1_13,0.03435,0.02703229162986053,21.303372256592347,2.2601522256060886
90.0,koma_water5,T1_14,0.02416,0.015617181700541598,35.35934726597021,7.689563614554737
90.0,koma_water0,T1_1,1.879,1.9430445687305153,3.408438995769843,0.0
90.0,koma_water0,T1_2,1.432,1.3948316960568534,2.5955519513370473,0.0
90.0,koma_water0,T1_3,1.027,0.9675386896045512,5.7898062702481665,0.0
90.0,koma_water0,T1_4,0.7513,0.694556189363927,7.552749984836008,0.0
90.0,koma_water0,T1_5,0.527,0.4763100528444664,9.618585798013966,0.0
90.0,koma_water0,T1_6,0.3841,0.40587411603250634,5.6688664494939704,0.0
90.0,koma_water0,T1_7,0.2723,0.24545271389330148,9.859451379617521,0.0
90.0,koma_water0,T1_8,0.1945,0.17026068294229946,12.462373808586399,0.0
90.0,koma_water0,T1_9,0.1378,0.12083402594796472,12.312027613958843,0.0
90.0,koma_water0,T1_10,0.0947,0.08192329972795631,13.491763750838114,0.0
90.0,koma_water0,T1_11,0.067,0.05748018274778224,14.208682465996667,0.0
90.0,koma_water0,T1_12,0.04814,0.04126265659677036,14.286130875009647,0.0
90.0,koma_water0,T1_13,0.03435,0.02765739076272892,19.483578565563555,0.0
90.0,koma_water0,T1_14,0.02416,0.016918110575635827,29.97470788230204,0.0
90.0,cached,T1_1,1.879,1.920961193591006,2.2331662368816407,1.1365346680615485
90.0,cached,T1_2,1.432,1.3789789502700562,3.7025872716441137,1.1365346680615598
90.0,cached,T1_3,1.027,0.9675386896045512,5.7898062702481665,0.0
90.0,cached,T1_4,0.7513,0.694556189363927,7.552749984836008,0.0
90.0,cached,T1_5,0.527,0.4763100528444664,9.618585798013966,0.0
90.0,cached,T1_6,0.3841,0.40587411603250634,5.6688664494939704,0.0
90.0,cached,T1_7,0.2723,0.24545271389330148,9.859451379617521,0.0
90.0,cached,T1_8,0.1945,0.17026068294229946,12.462373808586399,0.0
90.0,cached,T1_9,0.1378,0.12083402594796472,12.312027613958843,0.0
