label,T1_true_s,T1_fit_s,T1_sigma_s,mape_pct,cx_m,cy_m
T1_1,1.879,0.012859135088694774,0.0035563006105604955,99.31563943114983,0.065,0.0
T1_2,1.432,0.013615469228542875,0.004592410214114114,99.04919907621907,0.05258610463437159,0.03820604139901075
T1_3,1.027,0.5589695363143787,0.11958713693173084,45.572586532192915,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.40587411603250634,0.07464351300680497,45.977090904764225,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.24266305870620616,0.0646533566957025,53.95387880337643,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.24266305870620616,0.14239502090506645,36.82294748601766,-0.065,7.960204194457795e-18
T1_7,0.2723,0.17026068294229946,0.13251552002319195,37.47312414899028,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.15014417630215562,0.021886836113873653,22.805050744393,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.0877389558501733,0.016006366237224706,36.32876933949688,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.053060207529629214,0.012377456028953723,43.970213801869896,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.05748018274778224,0.0032869035095182478,14.208682465996667,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.03852761810525096,0.0035280086551644357,19.967556906416785,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.02642132068895592,0.008245832114549026,23.08203584001187,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.028951287969568563,0.0023189513468434963,19.83148994026723,0.019798989873223326,-0.019798989873223333
