label,T1_true_s,T1_fit_s,T1_sigma_s,M0_fit,mape_pct,cx_m,cy_m
T1_1,1.879,1.3789789502700562,0.0,10.9935149695812,26.611019144754856,0.065,0.0
T1_2,1.432,1.0723730179041349,0.0,6.749202052690399,25.113616068147003,0.05258610463437159,0.03820604139901075
T1_3,1.027,0.978661517028558,0.0,8.193179043109144,4.7067656252621175,0.020086104634371583,0.06181867355918498
T1_4,0.7513,0.6124935313630337,0.0,7.42089422196485,18.47550494302758,-0.020086104634371577,0.06181867355918499
T1_5,0.527,0.4873243244085049,0.0,8.482590578439343,7.528591193832086,-0.05258610463437158,0.03820604139901076
T1_6,0.3841,0.33419538730765835,0.0,6.5185226486056305,12.99260939660027,-0.065,7.960204194457795e-18
T1_7,0.2723,0.268955980153084,0.0,8.40332567727128,1.2280645783753261,-0.05258610463437159,-0.038206041399010744
T1_8,0.1945,0.19307242458502225,0.0,8.084966481147553,0.7339719357212138,-0.02008610463437159,-0.06181867355918498
T1_9,0.1378,0.14019207589628865,0.0,7.864099022807469,1.7359041337363192,0.02008610463437157,-0.06181867355918499
T1_10,0.0947,0.09614037870670906,0.0,7.16113694395882,1.5209912425650036,0.05258610463437158,-0.03820604139901077
T1_11,0.067,0.07061113876645883,0.0,6.623004419802773,5.389759352923622,0.01979898987322333,0.019798989873223326
T1_12,0.04814,0.04842343319704746,0.0,5.747451256395991,0.5887685854745625,-0.019798989873223326,0.01979898987322333
T1_13,0.03435,0.034366116018720014,0.0,4.7987643235374025,0.04691708506554634,-0.019798989873223333,-0.019798989873223326
T1_14,0.02416,0.024389636426773147,0.0,3.6192787528120722,0.9504818988954735,0.019798989873223326,-0.019798989873223333
